12:33:35.749 INFO  core.SeleniumTestPlan -Thread[main,5,main] Start method testLoginToApplication
12:34:21.587 INFO  core.SeleniumTestPlan -Thread[main,5,main] Finish method testLoginToApplication
12:34:21.678 INFO  core.SeleniumTestPlan -Test Suite Execution Time: 0 minutes.
12:59:57.299 INFO  core.BaseTestPlan -Thread[main,5,main] Start method testLoginToApplication
14:55:13.642 INFO  core.BaseTestPlan -Thread[main,5,main] Start method testLoginToApplication
14:57:34.457 INFO  core.BaseTestPlan -Thread[main,5,main] Finish method testLoginToApplication
14:57:34.507 INFO  core.BaseTestPlan -Test Suite Execution Time: 2 minutes.
15:35:31.994 INFO  core.TestLogger -logger is configured
15:35:32.002 INFO  core.TestLogger -logger is configured
15:35:32.003 INFO  core.TestLogger -logger is configured
15:37:48.621 INFO  core.TestLogger -logger is configured
15:37:48.628 INFO  core.TestLogger -logger is configured
15:37:48.628 INFO  core.TestLogger -logger is configured
15:46:06.852 INFO  core.TestLogger -logger is configured
15:46:06.858 INFO  core.TestLogger -logger is configured
15:46:06.858 INFO  core.TestLogger -logger is configured
15:50:06.566 INFO  core.TestLogger -logger is configured
15:50:06.577 INFO  core.TestLogger -logger is configured
15:50:06.577 INFO  core.TestLogger -logger is configured
15:55:24.826 INFO  core.TestLogger -logger is configured
15:55:26.706 INFO  core.TestLogger -logger is configured
15:55:26.707 INFO  core.TestLogger -logger is configured
15:56:16.965 INFO  core.TestLogger -logger is configured
15:56:16.978 INFO  core.TestLogger -logger is configured
15:56:16.978 INFO  core.TestLogger -logger is configured
15:57:15.675 INFO  core.TestLogger -logger is configured
15:57:15.683 INFO  core.TestLogger -logger is configured
15:57:15.684 INFO  core.TestLogger -logger is configured
